RegionID,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
102001,1465051,1465475,1576715,1663985,1741985,1791500,1797669,1773104,1734794,1707552,1553174,1387199,1397492,1403588,1463553,1359411,1466981,1460796,1433545,1378815,1326341,1314166,1147993,1001854,1032279,882590
394913,74376,76289,84272,91680,96644,98176,96459,92203,92985,90530,81817,72065,71448,74644,78782,64443,69327,77590,83025,81476,82402,80986,72067,62910,61025,57795
753899,26475,26943,29175,30323,31979,31939,32389,31499,30326,29467,25383,20638,21146,22213,22285,20196,23492,25293,26359,26408,26436,26309,23213,19485,19604,19262
394463,43357,45904,52684,58313,60607,62187,62348,62043,61205,59233,52306,44843,44957,48246,50415,44732,49402,52057,52380,51375,49456,48574,41759,34916,34766,30314
394514,28955,29618,32891,34834,36926,40114,41008,40071,38389,37604,34842,31182,30994,32141,33248,31379,35059,34970,34035,31519,28748,30014,26176,22415,22700,18905
394974,24041,23984,26852,29109,29764,30126,30692,28299,27921,27824,24805,21637,21358,21758,22107,18161,20958,22758,22365,21539,20830,20918,18383,15671,15937,14278
394692,36375,36384,39283,41105,42662,45921,46605,45765,43378,42592,40138,37575,38714,39549,40821,39029,41593,40205,39007,36482,34330,34363,30394,27824,29310,24340
395209,17190,17689,21481,24149,25940,25837,24952,23315,23694,23444,20099,16193,16490,17320,19826,18126,19417,19037,19326,18628,19018,19410,16520,13532,13872,12730
394856,69327,70636,72291,70877,69473,67495,66184,64153,62748,64446,63068,61563,65135,65329,64476,58702,61313,62154,60441,58999,59072,59754,56429,54724,,
394347,32224,35841,35738,37255,38788,40751,41401,41150,40515,40573,37252,34316,35560,35319,37306,36514,39176,37962,36467,34531,31932,32065,28140,24750,26815,22298
394404,11634,11723,14160,16185,18668,18857,17276,16029,17573,17346,14257,10489,9909,10946,12204,10498,13157,14962,14476,14025,14830,14456,11673,8659,8187,7618
395057,5704,6670,7982,8814,9689,9556,9298,8681,9554,9367,7184,4751,4779,6077,6393,5455,7704,8764,9323,9511,10003,10533,8418,6217,6213,6983
394532,17144,16154,17387,18823,20737,22395,23600,24268,24013,23564,20849,18111,17683,17044,16767,13211,18367,18743,18506,18216,17108,16768,14076,11774,11610,9911
395025,20709,20417,21509,21749,21620,21664,21720,21530,20805,20944,19310,17201,17742,17432,17058,15608,16672,15799,14654,14104,13746,14063,12237,10466,10583,9721
394976,27247,28200,30300,30286,29587,28021,25683,24691,23757,24549,23058,20792,22299,22671,24151,23076,23479,22094,20866,20568,21140,22518,20150,17397,17344,16600
395078,9273,8552,10818,11647,14461,15280,14644,14010,13466,12153,9381,6649,6633,7257,8787,8615,10047,10435,11205,11906,11447,11256,8640,6485,6934,6578
394865,9970,10017,11582,13567,16037,17621,17407,17352,17147,16517,13977,11010,10356,11206,13258,12825,14479,14647,14728,14643,14332,14082,10961,8418,8531,8255
395056,9028,8994,9710,10021,10515,10673,10833,10568,9803,9535,8168,6745,7130,7239,7534,7058,7954,7889,8052,7812,7466,7668,6390,5255,5370,5200
395121,11704,11279,12925,13802,14366,14706,14673,14556,14568,14761,13482,11611,11278,11227,12349,11070,11610,11569,11614,11151,11269,11390,9724,8402,,
395148,21500,21565,22095,21148,20854,21335,20988,20236,19734,20216,19212,17691,19349,19273,19561,17976,18971,17524,16600,15699,14901,15931,14363,13205,13740,11707
394358,11263,11154,12979,14260,14934,15217,14969,14333,14345,14265,12622,10756,10494,10569,11298,10069,10851,10551,10213,9725,9764,9790,8188,6863,6873,6008
