RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
102001,0,United States,Country,"",1426869.0,1384344.0,1441460.0,1528348.0,1629854.0,1703267.0,1754325.0,1778819.0,1767626.0,1747082.0,1690059.0,1593052.0,1504784.0,1456130.0,1502414.0,1568725.0,1660895.0,1732490.0,1777051.0,1787424.0,1768522.0,1738483.0,1665173.0,1549308.0,1445955.0,1396093.0,1421544.0,1408851.0,1429982.0,1429063.0,1453774.0,1424385.0,1379567.0,1339774.0,1262833.0,1154671.0,1060709.0,972241.0
394913,1,"New York, NY",Msa,NY,68675.0,68223.0,72733.0,79632.0,85629.0,90140.0,92226.0,91701.0,90447.0,89652.0,87399.0,82173.0,76929.0,74688.0,78312.0,84080.0,90865.0,95500.0,97093.0,95613.0,93882.0,91906.0,88444.0,81471.0,75110.0,72719.0,74958.0,72623.0,70851.0,70453.0,76647.0,80697.0,82301.0,81621.0,78485.0,71988.0,65334.0,60577.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20159.0,19983.0,21939.0,23861.0,25829.0,27430.0,29139.0,30216.0,30761.0,30981.0,30457.0,28686.0,27056.0,26229.0,27531.0,28814.0,30492.0,31414.0,32102.0,31942.0,31405.0,30431.0,28392.0,25163.0,22389.0,21332.0,21881.0,21565.0,21991.0,22994.0,25048.0,26020.0,26401.0,26384.0,25319.0,23002.0,20767.0,19450.0
394463,3,"Chicago, IL",Msa,IL,42974.0,41322.0,44988.0,49553.0,54087.0,56435.0,58325.0,59292.0,59134.0,58387.0,55643.0,50817.0,46103.0,44308.0,47315.0,52300.0,57201.0,60369.0,61714.0,62193.0,61865.0,60827.0,57581.0,52127.0,47369.0,46015.0,47873.0,47798.0,48183.0,48730.0,51280.0,51937.0,51070.0,49802.0,46596.0,41750.0,37147.0,33332.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24289.0,23210.0,24354.0,26758.0,29548.0,31963.0,33926.0,35096.0,35148.0,34288.0,33056.0,31090.0,29615.0,28936.0,30488.0,32448.0,34884.0,37291.0,39349.0,40398.0,39823.0,38688.0,36945.0,34543.0,32339.0,31439.0,32128.0,32256.0,33229.0,33803.0,34688.0,33508.0,31434.0,30094.0,28313.0,26202.0,23764.0,21340.0
394974,5,"Philadelphia, PA",Msa,PA,26129.0,24674.0,25669.0,27912.0,30172.0,31281.0,30967.0,30086.0,29303.0,29105.0,28490.0,26921.0,25172.0,24002.0,24959.0,26648.0,28575.0,29666.0,30194.0,29706.0,28971.0,28015.0,26850.0,24755.0,22600.0,21584.0,21741.0,20675.0,20409.0,20626.0,22027.0,22221.0,21578.0,21096.0,20044.0,18324.0,16664.0,15295.0
394692,6,"Houston, TX",Msa,TX,32959.0,32121.0,33737.0,35796.0,38620.0,40300.0,41608.0,42046.0,41307.0,40274.0,38722.0,37080.0,36073.0,35768.0,37347.0,38924.0,41017.0,43229.0,45063.0,46097.0,45249.0,43912.0,42036.0,40102.0,38809.0,38613.0,39695.0,39800.0,40481.0,40276.0,40268.0,38565.0,36606.0,35058.0,33029.0,30860.0,29176.0,27158.0
395209,7,"Washington, DC",Msa,DC,22176.0,20895.0,22458.0,25799.0,28727.0,28882.0,27620.0,26079.0,25677.0,25486.0,24584.0,22238.0,19404.0,17696.0,18787.0,21106.0,23857.0,25309.0,25576.0,24701.0,23987.0,23484.0,22412.0,19912.0,17594.0,16668.0,17879.0,18424.0,19123.0,18860.0,19260.0,18997.0,18991.0,19019.0,18316.0,16487.0,14641.0,13378.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,60992.0,62631.0,65729.0,67020.0,67479.0,65927.0,64509.0,63396.0,62841.0,63348.0,64004.0,64478.0,65937.0,67889.0,70751.0,71268.0,70880.0,69282.0,67717.0,65944.0,64362.0,63782.0,63421.0,63026.0,63255.0,64009.0,64980.0,62836.0,61497.0,60723.0,61303.0,60531.0,59504.0,59275.0,58418.0,56969.0,"",""
394347,9,"Atlanta, GA",Msa,GA,29756.0,28631.0,29734.0,31123.0,32745.0,34267.0,35763.0,36847.0,36640.0,36160.0,35060.0,33439.0,32144.0,32901.0,34601.0,36278.0,37260.0,38931.0,40313.0,41101.0,41022.0,40746.0,39447.0,37380.0,35709.0,35065.0,36062.0,36380.0,37665.0,37884.0,37868.0,36320.0,34310.0,32843.0,30712.0,28318.0,26568.0,24621.0
