RegionID,RegionName,,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
102001,"New York, NY",,245333,244400,245163,248497,254330,259333,262500,262500,259833,258000,257667,259000,258333,258667,260367,264367,266000,268133,273793,280493,286293,288300,290633,290667,289833
394913,"Los Angeles-Long Beach-Anaheim, CA",,408333,408333,406667,406667,410000,421667,431667,435833,433833,427585,423419,420419,421667,423333,425000,428333,431667,440000,444817,451483,455483,462333,470000,472333,474000
753899,"Chicago, IL",,631998,628167,633167,644333,649167,653833,661000,663000,663167,656500,656833,658667,660333,663333,670333,675000,673333,674667,688333,711667,727667,736000,736000,733333,728667
394463,"Dallas-Fort Worth, TX",,220417,219750,224333,232583,240583,246000,249000,247500,242500,236833,234000,232333,229667,228000,234667,246333,253333,255000,256667,262833,266167,267833,265000,262333,257333
394514,"Philadelphia, PA",,257630,257963,258663,265300,272300,277633,280300,278633,274300,271667,270000,271667,270000,271240,272874,279540,281633,285000,290000,296500,299338,299672,299838,300333,298000
394974,"Houston, TX",,235400,231233,231567,235667,244333,252667,261000,265000,260000,252667,248333,248333,246000,241367,239850,249433,257400,263917,268000,276262,281228,279895,276633,273333,271667
394692,"Washington, DC",,232967,232133,232167,238000,243667,247833,249500,249833,246333,243100,242100,244767,243667,244000,243167,248500,249167,253333,258967,264633,265300,263667,264333,267103,265769
395209,"Miami-Fort Lauderdale, FL",,399128,398494,398828,409667,420333,426158,427825,424792,415300,408553,408253,414920,410667,409000,415000,432000,439333,439667,447000,454000,457667,453233,449067,445067,438167
394856,"Atlanta, GA",,278170,274600,275800,278967,283133,285581,289747,291414,289667,290667,292333,295000,293333,293333,296000,302667,307917,312917,317917,324333,328333,330000,330000,330000,333333
394347,"Boston, MA",,241630,241630,243267,246967,253633,258667,262333,260667,257333,253790,253907,255573,254233,255783,258783,268000,269667,270967,272633,279300,283300,284967,284967,285000,283333
394404,"San Francisco, CA",,437500,432500,435833,438317,453650,470317,480333,480500,468833,458833,450000,453300,456633,459967,467667,481000,492667,501667,508333,520000,525000,521333,514000,509833,508500
395057,"Detroit, MI",,759833,748167,755167,795000,823333,841667,831667,809083,786583,792083,798000,800500,778333,765000,778333,806667,828333,839333,859333,886000,900000,901667,903333,898333,885000
394532,"Riverside, CA",,173667,171667,173000,177000,185858,192525,199525,200000,200000,196667,193300,188300,184967,181667,185000,193333,197417,201583,207583,215167,219667,215333,213633,210633,210633
395025,"Phoenix, AZ",,365000,364333,366000,369833,370500,371333,372500,373750,374583,374583,375000,377500,379167,384167,387667,390000,391667,395388,403054,411054,419333,426000,429667,431667,435000
394976,"Seattle, WA",,277263,276655,276023,278357,283333,287000,289333,290167,291800,294800,295765,297798,297798,299665,301332,302832,302500,304167,309330,317663,324330,330667,334000,335667,338333
395078,"Minneapolis-St Paul, MN",,459833,464167,474489,489312,501129,504123,503133,494983,486667,485700,483446,490113,487746,494333,502658,517658,518324,522001,528792,545457,556715,561590,562925,553000,549667
