RegionID,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
102001,291567,292933,297967,306333,314000,320333,321967,319633,314967,311633,306633,303233,299600,301263,306330,312891,320228,327728,334833,339833,342000,342967,341967,337300,332983,333317
394913,549333,549333,556000,566000,576145,579812,578479,574967,573300,574633,577667,579000,577667,579667,586333,594333,599000,602667,612967,629596,642596,649296,649667,650000,650000,650000
753899,752596,749596,759629,776500,801500,821500,837667,845667,845667,845667,845667,848667,849333,864667,881666,884966,879966,888600,918633,950300,961000,969333,974000,987667,995333,999000
394463,303233,306567,319267,335267,344967,347300,344333,337967,331300,324933,318633,310300,305330,309963,319963,327800,331167,336167,343300,348267,349932,349502,345868,339203,331333,331666
394514,335500,335800,340767,348267,354933,356300,354567,349533,344867,341600,339997,338330,335297,334600,336267,339267,343133,348133,354800,358133,359783,359483,357950,354697,352360,354027
394974,256600,251600,254967,263333,275000,283333,288633,290267,291900,293263,293263,288297,283267,282967,287967,294333,301333,311633,323633,333300,336333,338000,336633,333300,326633,323300
394692,307935,308912,312171,317030,320940,322243,320521,316937,312375,309242,306623,304668,302246,301931,304506,307009,311897,316166,322602,327327,332215,335718,337755,336800,335132,335465
395209,443233,443267,456300,474667,491300,498133,496463,491163,487663,487633,489300,486300,484667,488333,503333,514146,524113,532447,544963,551663,549996,543333,535000,528300,521600,518583
394856,398604,398604,399782,401127,402775,403280,405298,405332,405331,403649,403649,403650,403650,403650,405332,404995,404659,402641,402977,404995,407014,408797,407532,404633,401600,399633
394347,313710,313267,316633,326333,337667,344333,344443,339743,334710,330307,327007,325040,323663,323663,325663,327290,330623,336923,344700,351367,354733,356300,354633,351600,351297,357297
394404,527967,533267,549933,569967,588000,594667,594633,586600,579900,574933,574967,573333,573333,581333,597667,605967,614633,624633,641333,649666,649966,656633,661965,661998,661665,671333
395057,794650,798317,826650,866000,899333,907629,904629,885963,885667,889000,895629,877629,860963,869667,896000,912667,924333,948000,981333,997333,998667,998667,998667,995000,989667,983644
