RegionID,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
102001,"New York, NY",238133,238918,239601,240258,241139,242148,243075,243751,244298,244828,245357,246015,246912,247973,249160,250373,251561,252808,254322,256273,258554,261062,263778,266596,269440,272446
394913,"Los Angeles-Long Beach-Anaheim, CA",476031,476606,477270,477976,478849,479746,480522,480731,480062,479018,478068,478050,479009,480485,482037,483532,485001,486825,489253,492450,496604,501301,506351,511230,515876,520587
753899,"Chicago, IL",674339,671763,669424,668917,672524,677063,679029,679067,679856,681437,682835,685154,689060,694615,700284,704931,706656,707939,712420,719736,727484,734401,741356,748439,755007,761635
394463,"Dallas-Fort Worth, TX",241851,242185,242615,243206,243869,244422,244735,244725,244248,243705,243372,243441,244172,244641,245376,245678,246198,246846,248003,249557,251649,253978,256316,258626,260645,263185
394514,"Philadelphia, PA",249094,249922,250387,250581,251241,251768,252322,252787,253556,253691,253971,253934,254833,255485,256536,257325,258447,259779,261345,263147,265016,267474,269998,272884,275201,278259
394974,"Houston, TX",243631,244367,245415,246161,247077,247678,248441,248883,249137,249205,249437,249977,250856,251991,252882,254222,255515,257386,259350,261812,264547,267684,270798,274005,277188,280522
394692,"Washington, DC",212594,213458,213979,213920,214208,214903,215761,216364,216527,216926,217273,217756,217816,218108,218794,219707,220535,221268,222134,223238,224857,226544,228601,230749,233196,235792
395209,"Miami-Fort Lauderdale, FL",427013,428908,430304,431242,432316,433287,433747,434405,435212,436589,437932,439147,440286,441493,443046,445193,447262,449696,452915,456558,460588,464475,468756,473236,478098,483254
394856,"Atlanta, GA",296196,295937,296259,296700,297257,298151,298957,299482,299596,300050,300587,300712,301085,302719,304391,306023,307283,308615,309967,311837,314219,316623,318768,321424,324071,326457
394347,"Boston, MA",231783,232549,233734,234982,236362,237243,238082,238934,239763,240421,241026,241798,242847,244016,245168,246326,247505,249060,250790,252775,254955,257488,260318,263409,266577,269997
394404,"San Francisco, CA",483975,484784,484222,483812,484245,486250,487331,487821,488338,488702,489321,490256,492858,495093,497761,499767,502378,504241,507336,511697,516961,522603,528556,534504,539709,545895
395057,"Detroit, MI",1117543,1112418,1107944,1107345,1111851,1117089,1118745,1112585,1110646,1108683,1109780,1115287,1124957,1132060,1137350,1137083,1133799,1131675,1134032,1143780,1152404,1162671,1172084,1180571,1185921,1192921
394532,"Riverside, CA",175880,176498,176503,176639,177579,179142,180502,180896,180903,180823,180893,181047,181887,182851,184305,185487,186181,186475,187200,188919,191113,193557,195994,198502,200610,202879
395025,"Phoenix, AZ",377759,378528,379857,380438,381592,382796,383877,384395,384389,385582,386371,388314,389080,390658,392107,394380,396377,398741,401894,406387,411554,416607,422265,428019,434511,441324
394976,"Seattle, WA",267591,268749,269748,270340,271528,273235,275301,277111,278427,280021,281666,283676,285253,287339,289908,293782,296871,299775,302753,306623,311230,316190,321557,327102,333514,339878
395078,"Minneapolis-St Paul, MN",511914,509985,508021,506387,507904,510068,512668,513679,514083,514180,516454,521419,527172,532170,536537,541480,545156,549174,554154,561258,568689,576796,583841,589605,594950,601735
394865,"San Diego, CA",284589,285524,286004,286600,287582,289115,290456,291153,291866,292480,293361,294468,295431,296816,298276,300110,301560,302907,304605,306949,309495,312330,315164,317882,320810,323661
395056,"St. Louis, MO",591734,589822,588928,592296,595239,599614,603052,604857,604680,603998,604804,606929,610781,615269,620442,624442,628566,631516,635497,641772,651044,661426,671730,682019,692547,702933
395121,"Tampa, FL",175612,176675,177636,178188,178824,179298,179590,179502,179497,179628,179854,180423,181005,181808,182444,183441,184295,185509,186899,188622,190408,192156,193964,195556,197171,198709
395148,"Baltimore, MD",219691,220276,220409,220668,221636,222527,223707,224304,224971,225594,226443,227235,228086,229464,231016,232682,234205,236002,237910,240496,243293,246346,249679,253287,257248,261314
394358,"Denver, CO",292359,292950,293451,293830,294345,294941,295316,295136,294796,294356,294240,294539,295502,296131,297007,297609,298645,299883,301597,303970,306840,310109,313364,316768,319788,323406
394530,"Pittsburgh, PA",440196,440753,441531,442410,442668,443603,444492,445348,445785,446138,446513,447798,449991,451716,453350,454884,457242,459468,462239,465705,469858,474624,479745,485174,490625,496944
394982,"Portland, OR",155120,156224,156824,157234,158142,159328,160160,160190,160026,160167,160631,161360,161693,162349,163227,164560,165069,165776,166881,168703,170734,172672,174460,176151,178101,179774
394998,"Charlotte, NC",411499,412173,411768,411956,412506,413383,413784,414199,414450,415286,415856,417027,418728,420425,422830,424546,427133,429796,432941,436662,441250,445887,450824,455333,459786,464988
394458,"Sacramento, CA",230208,231045,232025,233019,234139,235105,235935,236824,237780,239161,240768,242295,243112,244337,245581,247467,249196,251165,253291,255623,258131,260764,263276,266079,269526,273202
395045,"San Antonio, TX",417354,417187,416899,418209,421395,424613,426162,426778,427455,427735,429048,430582,433450,435997,438954,441286,442642,444020,447156,451999,457896,464643,470847,476965,482632,489607
395055,"Orlando, FL",201544,202928,203479,204408,205143,206024,206635,207152,207884,208212,208764,208770,209349,209411,210011,210359,210951,211628,212607,213863,215357,217182,219086,221241,223398,225999
394943,"Cincinnati, OH",246521,247921,248703,248666,248917,249711,250786,251513,252287,252831,253678,254402,255590,256884,258150,259777,261260,262497,263620,265097,266686,268636,270669,272788,274726,276596
394466,"Cleveland, OH",177809,179303,180426,180850,180883,181179,181904,182734,183799,184397,184900,185486,186452,187358,188321,189334,190870,192478,194090,196007,197999,200544,203383,206295,208973,211922
394475,"Kansas City, MO",151553,151950,152490,152806,153850,154568,155504,155823,155977,156072,156282,157057,158080,159152,159950,160995,161982,163220,164418,166212,168173,170281,172268,174015,175697,177598
