"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.5,1.4,0.5,1.4,0.5,1.5,(z),(z),,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",0.9,1.9,0.9,1.9,5.3,4.2,4.9,4.0,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",2.0,1.3,1.6,1.1,1.0,1.0,0.7,0.8,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",0.6,1.4,0.5,1.4,0.5,1.4,1.3,2.2,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",1.2,0.8,1.0,0.7,0.3,0.4,0.8,0.7,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",2.9,2.3,2.6,2.1,1.8,1.7,0.9,1.3,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",2.2,1.6,0.2,0.5,0.8,1.0,0.7,0.9,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",2.6,2.0,1.1,1.3,0.4,0.8,2.7,2.1,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",2.1,1.8,0.2,0.5,0.6,0.9,0.5,0.8,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",0.4,0.5,0.3,0.4,0.2,0.3,0.5,0.5,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",1.0,1.6,0.6,1.2,1.3,1.9,(z),(z),,,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",0.7,1.5,0.5,1.1,0.9,1.5,0.3,0.9,,,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",3.0,3.7,2.4,3.2,2.0,3.0,(z),(z),,,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",1.7,2.2,1.3,1.9,2.3,2.5,3.7,3.0,,,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",1.0,1.1,0.4,0.7,1.0,1.1,1.5,1.3,,,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",1.0,0.6,0.8,0.5,1.2,0.6,1.9,0.8,,,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",0.7,1.0,0.8,1.1,0.9,1.2,0.4,0.7,,,,,,,,,,,,
