"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",71.9,9.7,71.7,9.9,68.5,10.1,66.4,9.6,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",62.9,9.7,57.7,9.6,62.3,9.5,73.1,9.2,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",70.9,4.4,77.2,4.1,66.9,4.7,63.1,4.7,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",73.1,8.7,69.3,9.5,61.4,9.6,71.9,9.6,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",63.7,3.8,68.3,3.6,66.6,3.6,67.0,3.7,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",60.2,6.8,66.3,6.5,73.4,6.0,61.6,6.6,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",68.3,5.3,71.0,5.1,70.6,5.2,72.8,5.1,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",68.4,6.3,75.4,5.8,72.9,6.2,71.6,6.4,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",73.7,5.9,77.3,5.5,75.9,5.6,77.1,5.6,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",62.8,3.5,61.5,3.5,60.7,3.5,59.7,3.5,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",70.2,8.1,64.1,7.6,63.8,8.3,63.3,7.9,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",66.2,8.6,72.7,7.5,67.9,7.9,73.2,7.7,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",74.5,10.4,82.5,9.3,73.8,10.4,79.2,9.8,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",72.1,8.4,80.2,7.8,76.7,8.0,73.7,7.8,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",71.3,5.3,74.4,5.1,72.7,5.3,74.9,5.2,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",65.4,2.9,64.7,2.8,65.5,2.8,68.4,2.8,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",65.5,6.1,71.3,6.0,74.0,6.0,74.1,5.6,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",65.4,5.6,64.6,5.7,69.4,5.5,65.7,5.8,,,,,,,,,,
