RegionType,State,Name,FIPSCode,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,countyname_x,state_x,ssacounty_x,fipscounty_x,msa_x,l_x,msaname_x,cbsa_x,cbsaname_x,Region,countyname_y,state_y,ssacounty_y,fipscounty_y,msa_y,l_y,msaname_y,cbsa_y,cbsaname_y
County,AL,Baldwin County,1003,1.7,1.0,1.1,1.1,1.2,0.8,0.8,BALDWIN,AL,1010,1003,5160.0,,"MOBILE, AL",,,South,BALDWIN,AL,1010,1003,5160.0,,"MOBILE, AL",,
County,AL,Jefferson County,1073,2.6,1.8,1.5,1.4,1.3,1.4,1.2,JEFFERSON,AL,1360,1073,1000.0,,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL",South,JEFFERSON,AL,1360,1073,1000.0,,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL"
County,AL,Lee County,1081,2.3,0.9,0.7,0.6,0.6,0.7,0.5,LEE,AL,1400,1081,580.0,,"AUBURN-OPELIKA, AL",12220.0,"Auburn-Opelika, AL",South,LEE,AL,1400,1081,580.0,,"AUBURN-OPELIKA, AL",12220.0,"Auburn-Opelika, AL"
County,AL,Madison County,1089,1.8,1.0,1.0,0.7,0.8,1.0,0.9,MADISON,AL,1440,1089,3440.0,,"HUNTSVILLE, AL",26620.0,"Huntsville, AL",South,MADISON,AL,1440,1089,3440.0,,"HUNTSVILLE, AL",26620.0,"Huntsville, AL"
County,AL,Mobile County,1097,3.6,2.4,1.8,2.0,1.9,1.9,1.6,MOBILE,AL,1480,1097,5160.0,,"MOBILE, AL",33660.0,"Mobile, AL",South,MOBILE,AL,1480,1097,5160.0,,"MOBILE, AL",33660.0,"Mobile, AL"
County,AL,Montgomery County,1101,3.2,2.2,1.7,1.3,1.3,1.7,1.3,MONTGOMERY,AL,1500,1101,5240.0,,"MONTGOMERY, AL",33860.0,"Montgomery, AL",South,MONTGOMERY,AL,1500,1101,5240.0,,"MONTGOMERY, AL",33860.0,"Montgomery, AL"
County,AL,Shelby County,1117,2.2,1.3,1.4,1.0,1.2,0.9,1.0,SHELBY,AL,1580,1117,1000.0,,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL",South,SHELBY,AL,1580,1117,1000.0,,"BIRMINGHAM, AL",13820.0,"Birmingham-Hoover, AL"
County,AL,Tuscaloosa County,1125,2.5,2.4,1.8,0.9,1.2,1.0,1.3,TUSCALOOSA,AL,1620,1125,8600.0,,"TUSCALOOSA, AL",46220.0,"Tuscaloosa, AL",South,TUSCALOOSA,AL,1620,1125,8600.0,,"TUSCALOOSA, AL",46220.0,"Tuscaloosa, AL"
County,AK,Anchorage Municipality,2020,1.7,0.9,1.1,0.9,1.0,0.9,0.7,ANCHORAGE,AK,2020,2020,380.0,,"ANCHORAGE,AK",11260.0,"Anchorage, AK",0,ANCHORAGE,AK,2020,2020,380.0,,"ANCHORAGE,AK",11260.0,"Anchorage, AK"
County,AZ,Maricopa County,4013,1.3,0.9,0.7,0.6,0.7,0.7,0.6,MARICOPA,AZ,3060,4013,6200.0,L,"PHOENIX-MESA, AZ",38060.0,"Phoenix-Mesa-Scottsdale, AZ",0,MARICOPA,AZ,3060,4013,6200.0,L,"PHOENIX-MESA, AZ",38060.0,"Phoenix-Mesa-Scottsdale, AZ"
