"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",10.2,9.2,8.1,8.5,3.3,5.3,3.6,5.0,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",7.9,6.7,6.7,5.6,10.1,7.1,15.3,10.2,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",4.3,2.8,6.9,4.0,6.8,3.4,4.1,2.5,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",4.5,5.9,5.6,6.6,2.9,4.2,2.5,4.9,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",6.9,2.5,5.1,2.3,5.8,2.4,7.7,2.7,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",6.4,4.1,9.8,5.3,7.8,5.4,3.0,2.9,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",4.7,3.3,6.1,3.8,9.6,4.7,8.0,4.5,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",5.0,4.0,5.6,4.6,9.3,5.7,10.3,6.1,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",20.6,7.4,27.3,8.2,13.4,6.5,10.9,6.3,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",6.8,2.3,3.0,1.5,3.3,1.6,5.5,2.0,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",5.1,5.5,1.7,2.7,3.7,4.2,3.8,4.0,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",11.1,7.3,(z),(z),2.8,3.8,5.4,5.7,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",9.4,10.4,20.4,16.5,19.5,12.8,12.8,12.8,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",30.6,10.7,26.8,13.1,23.2,11.4,28.8,10.3,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",5.0,3.6,4.5,3.6,6.7,4.3,6.3,4.4,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",5.9,1.9,6.9,1.9,9.2,2.2,7.4,2.1,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",5.4,3.8,6.5,4.6,10.9,6.3,10.0,5.7,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",7.2,3.9,3.2,2.7,4.7,3.5,6.7,4.0,,,,,,,,,,
