,RegionID,RegionName,SizeRank,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,1/31/2019_x,2/28/2019_x,3/31/2019_x,4/30/2019_x,5/31/2019_x,6/30/2019_x,7/31/2019_x,8/31/2019_x,9/30/2019_x,10/31/2019_x,11/30/2019_x,12/31/2019_x,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_x,1/31/2019_y,2/28/2019_y,3/31/2019_y,4/30/2019_y,5/31/2019_y,6/30/2019_y,7/31/2019_y,8/31/2019_y,9/30/2019_y,10/31/2019_y,11/30/2019_y,12/31/2019_y,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,2/28/2021_y,1/31/2019_x,2/28/2019_x,3/31/2019_x,4/30/2019_x,5/31/2019_x,6/30/2019_x,7/31/2019_x,8/31/2019_x,9/30/2019_x,10/31/2019_x,11/30/2019_x,12/31/2019_x,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_x,1/31/2019_y,2/28/2019_y,3/31/2019_y,4/30/2019_y,5/31/2019_y,6/30/2019_y,7/31/2019_y,8/31/2019_y,9/30/2019_y,10/31/2019_y,11/30/2019_y,12/31/2019_y,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,1/31/2019_x,2/28/2019_x,3/31/2019_x,4/30/2019_x,5/31/2019_x,6/30/2019_x,7/31/2019_x,8/31/2019_x,9/30/2019_x,10/31/2019_x,11/30/2019_x,12/31/2019_x,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_y,1/31/2019_y,2/28/2019_y,3/31/2019_y,4/30/2019_y,5/31/2019_y,6/30/2019_y,7/31/2019_y,8/31/2019_y,9/30/2019_y,10/31/2019_y,11/30/2019_y,12/31/2019_y,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,2/28/2021_x,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021_y
0,0,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_rents,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_sfr_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_condo_valuations,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_sale_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_median_list_prices,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_inventory,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts,zillow_sale_counts
1,394913,"New York, NY",1,2772.0,2778.0,2784,2790,2796,2802,2808,2812,2817,2821,2820,2818,2816,2803,2790,2777,2755,2732,2710,2688,2665,2643,2619,2595,2572,2548,476031,476606,477270,477976,478849,479746,480522,480731,480062,479018,478068,478050,479009,480485,482037,483532,485001,486825,489253,492450,496604,501301,506351,511230,515876,520587,475165,475857,476515,477263,478148,479126,479919,480224,479611,478689,477800,477881,478918,480531,482296,483977,485686,487729,490510,494070,498728,503895,509538,514975,520272,525653,487117,487256,488250,488924,490010,490353,490976,490423,489094,486851,485124,484477,485139,486142,486591,487130,487232,488005,488619,490011,491667,494173,496355,498221,499140,499881,408333,408333,406667,406667,410000,421667,431667,435833,433833,427585,423419,420419,421667,423333,425000,428333,431667,440000,444817,451483,455483,462333,470000,472333,474000,549333,549333,556000,566000,576145,579812,578479,574967,573300,574633,577667,579000,577667,579667,586333,594333,599000,602667,612967,629596,642596.0,649296.0,649667.0,650000.0,650000.0,650000.0,74376,76289,84272,91680,96644,98176,96459,92203,92985,90530,81817,72065,71448,74644,78782,64443,69327,77590,83025,81476.0,82402.0,80986,72067,62910,61025.0,57795.0,12209,13213,14941,16036,18513,18574,15972,16393,14172,15443,14424,12200,12457,9719,10194,12366,14848,16923,18143,21009,18849,22919,17212.0,13936.0
2,753899,"Los Angeles-Long Beach-Anaheim, CA",2,2487.0,2494.0,2501,2508,2515,2522,2529,2535,2540,2546,2548,2551,2553,2553,2552,2552,2551,2550,2548,2547,2546,2545,2544,2542,2541,2540,674339,671763,669424,668917,672524,677063,679029,679067,679856,681437,682835,685154,689060,694615,700284,704931,706656,707939,712420,719736,727484,734401,741356,748439,755007,761635,699411,696769,694411,693951,697798,702626,704856,705033,705986,707679,709187,711638,715777,721679,727729,732736,734681,736171,740996,748828,757141,764656,772236,779988,787220,794492,538291,536272,534258,533442,535676,538598,539682,539235,539679,540662,541555,542949,545512,549137,552848,555641,556314,556558,559004,563533,568064,571855,575538,579381,582743,586180,631998,628167,633167,644333,649167,653833,661000,663000,663167,656500,656833,658667,660333,663333,670333,675000,673333,674667,688333,711667,727667,736000,736000,733333,728667,752596,749596,759629,776500,801500,821500,837667,845667,845667,845667,845667,848667,849333,864667,881666,884966,879966,888600,918633,950300,961000.0,969333.0,974000.0,987667.0,995333.0,999000.0,26475,26943,29175,30323,31979,31939,32389,31499,30326,29467,25383,20638,21146,22213,22285,20196,23492,25293,26359,26408.0,26436.0,26309,23213,19485,19604.0,19262.0,7944,8905,9858,9403,9783,9971,8797,9391,8099,8742,6652,6621,7969,5795,4759,6980,9469,9571,10203,10597,9014,10355,6735.0,7194.0
3,394463,"Chicago, IL",3,1734.0,1738.0,1743,1747,1751,1755,1759,1763,1766,1769,1770,1771,1772,1770,1768,1766,1762,1757,1753,1749,1744,1740,1735,1731,1726,1722,241851,242185,242615,243206,243869,244422,244735,244725,244248,243705,243372,243441,244172,244641,245376,245678,246198,246846,248003,249557,251649,253978,256316,258626,260645,263185,247223,247585,248034,248612,249269,249818,250130,250114,249620,249048,248712,248797,249560,250017,250746,251042,251595,252283,253491,255114,257299,259748,262200,264627,266754,269462,203238,203344,203582,204198,204868,205427,205713,205704,205352,205024,204757,204719,205212,205677,206390,206645,206832,207098,207799,208783,210109,211490,212911,214307,215478,216818,220417,219750,224333,232583,240583,246000,249000,247500,242500,236833,234000,232333,229667,228000,234667,246333,253333,255000,256667,262833,266167,267833,265000,262333,257333,303233,306567,319267,335267,344967,347300,344333,337967,331300,324933,318633,310300,305330,309963,319963,327800,331167,336167,343300,348267,349932.0,349502.0,345868.0,339203.0,331333.0,331666.0,43357,45904,52684,58313,60607,62187,62348,62043,61205,59233,52306,44843,44957,48246,50415,44732,49402,52057,52380,51375.0,49456.0,48574,41759,34916,34766.0,30314.0,9388,11233,13299,14030,14052,13217,11154,10836,9110,9349,7443,6802,8562,9162,8430,10669,13767,13946,14351,18268,15653,14767,12737.0,9767.0
4,394514,"Dallas-Fort Worth, TX",4,1503.0,1508.0,1512,1517,1521,1526,1530,1534,1537,1541,1543,1544,1546,1548,1549,1550,1553,1555,1558,1561,1563,1566,1569,1572,1575,1578,249094,249922,250387,250581,251241,251768,252322,252787,253556,253691,253971,253934,254833,255485,256536,257325,258447,259779,261345,263147,265016,267474,269998,272884,275201,278259,250800,251618,252067,252245,252901,253419,253966,254419,255174,255310,255592,255571,256479,257142,258202,258998,260130,261480,263069,264906,266809,269296,271846,274760,277118,280223,178773,179773,180538,181008,181642,182558,183593,184751,186619,186795,187092,185985,186619,186735,187496,188002,188694,189180,189639,189922,190202,191474,192827,194766,195442,196670,257630,257963,258663,265300,272300,277633,280300,278633,274300,271667,270000,271667,270000,271240,272874,279540,281633,285000,290000,296500,299338,299672,299838,300333,298000,335500,335800,340767,348267,354933,356300,354567,349533,344867,341600,339997,338330,335297,334600,336267,339267,343133,348133,354800,358133,359783.0,359483.0,357950.0,354697.0,352360.0,354027.0,28955,29618,32891,34834,36926,40114,41008,40071,38389,37604,34842,31182,30994,32141,33248,31379,35059,34970,34035,31519.0,28748.0,30014,26176,22415,22700.0,18905.0,7245,8958,10233,9246,10230,8346,8223,8449,7156,8502,6117,6938,8663,7429,7212,10443,12305,11166,10161,9783,8690,10025,6473.0,6412.0
5,394974,"Philadelphia, PA",5,1552.0,1557.0,1561,1565,1570,1574,1578,1582,1586,1589,1592,1594,1596,1598,1600,1601,1604,1607,1609,1612,1615,1617,1620,1623,1626,1629,243631,244367,245415,246161,247077,247678,248441,248883,249137,249205,249437,249977,250856,251991,252882,254222,255515,257386,259350,261812,264547,267684,270798,274005,277188,280522,246360,247100,248169,248941,249864,250462,251231,251688,251955,252032,252272,252818,253715,254875,255786,257145,258470,260383,262389,264893,267678,270876,274055,277335,280590,283996,195379,195989,196784,197316,198071,198609,199260,199522,199645,199660,199907,200390,201058,201790,202355,203312,204155,205412,206717,208458,210384,212546,214557,216595,218652,220883,235400,231233,231567,235667,244333,252667,261000,265000,260000,252667,248333,248333,246000,241367,239850,249433,257400,263917,268000,276262,281228,279895,276633,273333,271667,256600,251600,254967,263333,275000,283333,288633,290267,291900,293263,293263,288297,283267,282967,287967,294333,301333,311633,323633,333300,336333.0,338000.0,336633.0,333300.0,326633.0,323300.0,24041,23984,26852,29109,29764,30126,30692,28299,27921,27824,24805,21637,21358,21758,22107,18161,20958,22758,22365,21539.0,20830.0,20918,18383,15671,15937.0,14278.0,5862,6634,8109,8696,8897,8448,7199,7351,6112,6760,5643,4499,6013,5352,4841,6004,8566,9219,9062,9893,8701,9782,7120.0,5810.0
6,394692,"Houston, TX",6,1440.0,1442.0,1444,1446,1448,1450,1453,1455,1457,1459,1459,1459,1459,1458,1458,1457,1458,1458,1459,1459,1459,1460,1460,1461,1461,1462,212594,213458,213979,213920,214208,214903,215761,216364,216527,216926,217273,217756,217816,218108,218794,219707,220535,221268,222134,223238,224857,226544,228601,230749,233196,235792,215131,216004,216535,216478,216774,217474,218341,218944,219113,219515,219877,220367,220432,220724,221415,222340,223179,223926,224808,225937,227582,229299,231381,233565,236050,238695,137775,138402,138658,138543,138538,138987,139481,139956,139869,140043,139930,140084,139990,140209,140716,141209,141706,142036,142458,142917,143857,144777,146130,147352,148703,149948,232967,232133,232167,238000,243667,247833,249500,249833,246333,243100,242100,244767,243667,244000,243167,248500,249167,253333,258967,264633,265300,263667,264333,267103,265769,307935,308912,312171,317030,320940,322243,320521,316937,312375,309242,306623,304668,302246,301931,304506,307009,311897,316166,322602,327327,332215.0,335718.0,337755.0,336800.0,335132.0,335465.0,36375,36384,39283,41105,42662,45921,46605,45765,43378,42592,40138,37575,38714,39549,40821,39029,41593,40205,39007,36482.0,34330.0,34363,30394,27824,29310.0,24340.0,6952,7619,8882,8281,9049,8528,7314,7446,6446,7776,5084,5901,7776,6296,6239,9076,10648,9052,9027,9057,7991,9792,6416.0,6065.0
7,395209,"Washington, DC",7,2087.0,2092.0,2097,2102,2106,2111,2116,2119,2123,2127,2127,2127,2128,2124,2120,2117,2111,2105,2099,2093,2087,2080,2074,2068,2061,2055,427013,428908,430304,431242,432316,433287,433747,434405,435212,436589,437932,439147,440286,441493,443046,445193,447262,449696,452915,456558,460588,464475,468756,473236,478098,483254,445696,447716,449103,450005,451023,452008,452483,453088,453835,455225,456672,457956,459060,460217,461823,464133,466360,468927,472340,476270,480631,484832,489390,494207,499510,505158,292255,293612,294931,296092,297338,298160,298662,299470,300495,301739,302956,304165,305295,306695,308071,309884,311206,312911,314839,316775,318725,320559,322527,324293,326088,327561,399128,398494,398828,409667,420333,426158,427825,424792,415300,408553,408253,414920,410667,409000,415000,432000,439333,439667,447000,454000,457667,453233,449067,445067,438167,443233,443267,456300,474667,491300,498133,496463,491163,487663,487633,489300,486300,484667,488333,503333,514146,524113,532447,544963,551663,549996.0,543333.0,535000.0,528300.0,521600.0,518583.0,17190,17689,21481,24149,25940,25837,24952,23315,23694,23444,20099,16193,16490,17320,19826,18126,19417,19037,19326,18628.0,19018.0,19410,16520,13532,13872.0,12730.0,7500,8673,10161,10250,9592,9040,7366,8389,6763,7392,6128,5679,7633,7465,7086,9138,10198,9799,9983,10174,9141,10385,6919.0,6667.0
8,394856,"Miami-Fort Lauderdale, FL",8,1872.0,1876.0,1879,1883,1887,1890,1894,1898,1902,1907,1909,1912,1915,1917,1920,1922,1925,1928,1931,1934,1938,1941,1945,1948,1952,1955,296196,295937,296259,296700,297257,298151,298957,299482,299596,300050,300587,300712,301085,302719,304391,306023,307283,308615,309967,311837,314219,316623,318768,321424,324071,326457,341228,340926,341278,341821,342464,343451,344325,344865,344984,345503,346139,346252,346643,348554,350566,352507,354008,355645,357353,359680,362580,365508,368155,371427,374708,377642,185901,185613,185706,185856,186116,186613,187086,187341,187310,187524,187744,187768,187880,188751,189561,190386,190980,191571,192108,192939,194053,195129,196045,197205,198385,199369,278170,274600,275800,278967,283133,285581,289747,291414,289667,290667,292333,295000,293333,293333,296000,302667,307917,312917,317917,324333,328333,330000,330000,330000,333333,398604,398604,399782,401127,402775,403280,405298,405332,405331,403649,403649,403650,403650,403650,405332,404995,404659,402641,402977,404995,407014.0,408797.0,407532.0,404633.0,401600.0,399633.0,69327,70636,72291,70877,69473,67495,66184,64153,62748,64446,63068,61563,65135,65329,64476,58702,61313,62154,60441,58999.0,59072.0,59754,56429,54724,,,8745,9596,10708,9320,10195,9050,7995,8470,7139,8637,7695,6213,9299,7216,5176,7005,9200,9687,9598,10533,8908,11648,9363.0,8102.0
9,394347,"Atlanta, GA",9,1493.0,1500.0,1506,1513,1518,1524,1529,1534,1538,1543,1546,1550,1553,1558,1562,1567,1574,1581,1588,1596,1603,1610,1618,1626,1634,1642,231783,232549,233734,234982,236362,237243,238082,238934,239763,240421,241026,241798,242847,244016,245168,246326,247505,249060,250790,252775,254955,257488,260318,263409,266577,269997,233358,234169,235405,236688,238068,238973,239845,240738,241591,242276,242897,243681,244753,245933,247091,248253,249483,251078,252850,254870,257108,259699,262603,265773,269024,272536,212591,212712,213242,214009,215464,216042,216443,216663,217155,217308,217540,217993,218602,219538,220494,221476,221808,222673,223711,225125,226403,228079,229850,231820,233815,235912,241630,241630,243267,246967,253633,258667,262333,260667,257333,253790,253907,255573,254233,255783,258783,268000,269667,270967,272633,279300,283300,284967,284967,285000,283333,313710,313267,316633,326333,337667,344333,344443,339743,334710,330307,327007,325040,323663,323663,325663,327290,330623,336923,344700,351367,354733.0,356300.0,354633.0,351600.0,351297.0,357297.0,32224,35841,35738,37255,38788,40751,41401,41150,40515,40573,37252,34316,35560,35319,37306,36514,39176,37962,36467,34531.0,31932.0,32065,28140,24750,26815.0,22298.0,10962,11522,13180,12086,12214,11649,10062,10074,8773,9984,6915,8335,10133,8877,8628,12048,13164,12310,11933,11997,10168,11378,7317.0,7927.0
